Vehicle full name,Manufacturing,Model,Top speed (km/hr),Price (INR),Fuel Type,Wheelers type,Battery capacity [kWh],Full charging time (HR),Range (km/hr),Fast Charging, Number of Seats,Type of brakes,Type of Vehicle
Revolt RV400,Revolt Motors,RV400,85,134000,Electric,Two Wheeler,4,4.5,150,YES,2,Disc,Motor cycles
Revolt RV300,Revolt Motors,RV300,65,94999,Electric,Two Wheeler,2.7,4.2,180,YES,2,Disc,Motor cycles
Tork Motors(Kratos ),Tork Motors,Kratos,100,192499,Electric,Two Wheeler,4,5,180,NO,2,Disc,Motor cycles
Tork Motors(Kratos R),Tork Motors,Kratos R,105,207499,Electric,Two Wheeler,4,5,180,YES,2,Disc,Motor cycles
Oben Rorr,Kabira Mobility,Oben Rorr,100,102999,Electric,Two Wheeler,4.4,2,200,YES,2,Disc,Motor cycles
Kabira Mobility KM 3000,Kabira Mobility,KM 3000,120,127000,Electric,Two Wheeler,4,6.5,120,YES,2,Disc,Motor cycles
Kabira Mobility KM 4000,Kabira Mobility KM 4000,KM 4000,150,137000,Electric,Two Wheeler,4.4,6.5,150,YES,2,Disc,Motor cycles
SVM Prana Elite,SVM Prana, Elite,123,300000,Electric,Two Wheeler,7.2,6.5,225,YES,2,Disc,Motor cycles
SVM Prana Grand,SVM Prana, Grand,123,225000,Electric,Two Wheeler,4.32,4.5,126,YES,2,Disc,Motor cycles
Earth Energy EV Evolve R,Earth Energy , EV Evolve R,110,142000,Electric,Two Wheeler,1.38,2.5,100,YES,2,Disc,Motor cycles
Earth Energy EV Glyde Plus, Earth Energy, EV Glyde Plus,90,95000,Electric,Two Wheeler,0.6,,100,YES,2,Disc,Motor cycles
Ultraviolette F77,Ultraviolette Automotive,F77,140,350000,Electric,Two Wheeler,4.2,5,150,YES,2,Disc,Motor cycles
Emflux Emflux One,Emflux Motors,Emflux One,200,550000,Electric,Two Wheeler,9.7,3,200,YES,2,Disc,Motor cycles
Ather 450X,Ather Energy,Ather 450X,80,140000,Electric,Two Wheeler,2.9,5.45,116,YES,2,Disc,Scooters
Ather 450,Ather Energy,Ather 450,80,135000,Electric,Two Wheeler,2.4,4.18,70,YES,2,Disc,Scooters
Bajaj Chetak,Bajaj ,Bajaj Chetak,63,148000,Electric,Two Wheeler,2.5,5,95,YES,2,Disc,Scooters
Simple One Extra Range,Simple Energy,ESimple One Extra Range,105,109000,Electric,Two Wheeler,6.4,5,300,YES,2,Disc,Scooters
Simple One STD,Simple Energy,Simple One STD,105,144999,Electric,Two Wheeler,4.8,1.5,236,YES,2,Disc,Scooters
Simple Energy Mark 2,Simple Energy,Mark 2,100,102000,Electric,Two Wheeler,4.8,1,260,YES,2,Disc,Scooters
Hero Electric Photon,Hero Electric, Photon ,45,80790,Electric,Two Wheeler,1.44,5,108,YES,2,Disc,Scooters
Hero Electric Optima,Hero Electric,Optima,25,52000,Electric,Two Wheeler,1.87,5,50,YES,2,Disc,Scooters
Okinawa Praise,Okinawa Praise,pro,58,80615,Electric,Two Wheeler,3.3,5,88,No,2,Disc,Scooters
Yakuza Rubie 60V,Yakuza Rubie,RUBIE 60V,25,45000,Electric,Two Wheeler,1.5,8,50,YES,2,Disc,Scooters
Lectrix E 1,Lactrix Motors,Lectrix E 1,25,50000,Electric,Two Wheeler,1.5,5,70,YES,2,Disc,Scooters
Evolet Pony EZ,Evolet Pony,Pony EZ,25,41197,Electric,Two Wheeler,1.15,9,60,YES,2,Disc,Scooters
Pony Classic,Evolet Pony,Pony Classic,25,51197,Electric,Two Wheeler,1.15,6,65,YES,2,Disc,Scooters
EeVe Xeniaa,Omjay Eeve, Xeniaa STD,25,79999,Electric,Two Wheeler,2.5,4,80,YES,2,Disc,Scooters
EeVe Xeniaa,Omjay Eeve, Xeniaa 2.0,25,86999,Electric,Two Wheeler,1.2,4,80,YES,2,Disc,Scooters
BattRE Electric LoEV,Battre loev, LoEV,43,59900,Electric,Two Wheeler,1.44,2.5,60,YES,2,Disc,Scooters
BattRE Electric gps,BattRE Electric, gps,50,64990,Electric,Two Wheeler,2,2.5,110,YES,2,Disc,Scooters
PURE EV Epluto 7G,PURE EV ,Epluto 7G,60,92999,Electric,Two Wheeler,2.5,4,120,YES,2,Disc,Scooters
Ampere V48,Ampere,V48,25,38000,Electric,Two Wheeler,1.29,10,50,YES,2,Disc,Scooters
Ampere REO,Ampere,REO,25,49579,Electric,Two Wheeler,0.96,6,60,YES,2,Disc,Scooters
Ola S1 pro,Ola, S1 pro,115,124000,Electric,Two Wheeler,3.97,6.5,181,YES,2,Disc,Scooters
Ola S1,Ola,s1,90,94999,Electric,Two Wheeler,2.98,5,121,YES,2,Disc,Scooters
TVS iQube Electric,TVS, iQube Electric,78,165000,Electric,Two Wheeler,4.56,4,145,YES,2,Disc,Scooters
Amo Mobility S-Pin,Amo Mobility, S-Pin,25,43606,Electric,Two Wheeler,2,6,75,YES,2,Disc,Scooters
Andaaz ,Lectrix EV,Andaaz,25,135000,Electric,Three Wheeler,2,8,80,YES,4,,Rickshaws
Gatti E-rickshaw,Entice Impex, Gatti LX,25,90000,Electric,Three Wheeler,1.68,8,80,YES,6,,Rickshaws
COMFORT DLX,Lohia,COMFORT DLX,25,155000,Electric,Three Wheeler,1.2,8,100,YES,4, Hydraulic  ,Rickshaws
Mahindra Treo,Mahindra ,Treo,55,187000,Electric,Three Wheeler,7.37,4,141,YES,4, Hydraulic  ,Cargo three Wheeler
Kerala Neem G,Kerala Automobiles, Neem G,45,285000,Electric,Three Wheeler,1.08,4,90,YES,4,,Rickshaws
Omega Seiki Mobility RAGE,Omega Seiki Mobility,RAGE,45,340000,Electric,Three Wheeler,10.8,5,128,YES,2,,Cargo three Wheeler
Ele 1000 E,Ele , 1000 E,55,66950,Electric,Four Wheeler,0.96,8,80,YES,4,,Cars
Tata Nexon EV,Tata,Dark XZ Plus LUX ,120,1740000,Electric,Four Wheeler,30.2,8.5,312,YES,5,Disc,Cars
Tata Tigor EV,Tata,XZ Plus Dual Tone ,120,700000,Electric,Four Wheeler,,,732,YES,5,,Cars
MG ZS EV,MG ZS,Exclusive ,140,2588000,Electric,Four Wheeler,50.3,1,461,YES,5,,Cars
Hyundai Kona Electric,Hyundai, Kona Electric,167,2398000,Electric,Four Wheeler,39.2,6.1,452,YES,5,,Cars
Jaguar I-Pace,Jaguar,I-Pace,500,11200000,Electric,Four Wheeler,90,8.5,470,YES,5,,Cars
Audi E-Tron GT,Audi ,Quattro ,245,18000000,Electric,Four Wheeler,93.4,6,388,YES,5,,Cars
BYD E6,E6, E6,140,2915000,Electric,Four Wheeler,71.7,1.6,520,YES,5,,Cars
Mercedes-Benz EQC,Mercedes-Benz, EQC,180,10000000,Electric,Four Wheeler,80,41,383,YES,5,,Cars
BMW iX,BMW ,iX,200,11600000,Electric,Four Wheeler,105,1,400,YES,5,,Cars
Hyundai Kona,Hyundai, Kona,167,2384000,electric,four Wheeler,39.2,6.1,452,YES,5,disc (front + rear),Cars
